metric,sn,scan_id,scan_processed_date,mean,median,min,max
Core Area (mm²),LH1T-19,2298,2/1/2024 20:10,12.315,12.31527,12.27802,12.35495
Anode Overhang (All) (mm),LH1T-19,2298,2/1/2024 20:10,0.549,0.5576,0.41131,0.6732
Cathode Width (mm),LH1T-19,2298,2/1/2024 20:10,64.039,64.05845,63.8944,64.17333
Core Area (mm²),LH1T-20,2299,2/1/2024 20:19,12.249,12.25799,12.18792,12.30626
Anode Overhang (All) (mm),LH1T-20,2299,2/1/2024 20:19,0.562,0.57423,0.3116,0.82066
Cathode Width (mm),LH1T-20,2299,2/1/2024 20:19,64.036,64.05841,63.87801,64.15715
Core Area (mm²),LH1T-21,2300,2/1/2024 20:28,12.284,12.28919,12.17932,12.4117
Anode Overhang (All) (mm),LH1T-21,2300,2/1/2024 20:28,0.559,0.56622,0.328,0.79333
Cathode Width (mm),LH1T-21,2300,2/1/2024 20:28,64.025,64.04202,63.8616,64.17321
Core Area (mm²),LH1T-22,2301,2/1/2024 20:38,12.404,12.40605,12.34553,12.47329
Anode Overhang (All) (mm),LH1T-22,2301,2/1/2024 20:38,0.551,0.5576,0.43939,0.6724
Cathode Width (mm),LH1T-22,2301,2/1/2024 20:38,64.021,64.02561,63.86168,64.1568
Core Area (mm²),LH1T-23,2302,2/1/2024 20:47,12.146,12.13386,12.02897,12.30411
Anode Overhang (All) (mm),LH1T-23,2302,2/1/2024 20:47,0.579,0.57494,0.43761,0.72328
Cathode Width (mm),LH1T-23,2302,2/1/2024 20:47,64.03,64.04208,63.87808,64.1568
Core Area (mm²),LH1T-24,2303,2/1/2024 20:56,12.261,12.27345,12.14085,12.37418
Anode Overhang (All) (mm),LH1T-24,2303,2/1/2024 20:56,0.556,0.55784,0.3116,0.80427
Cathode Width (mm),LH1T-24,2303,2/1/2024 20:56,64.044,64.05868,63.8944,64.17328
Anode Overhang (All) (mm),LH1T-25,2304,2/1/2024 21:05,0.556,0.55784,0.40979,0.70596
Cathode Width (mm),LH1T-25,2304,2/1/2024 21:05,64.037,64.05841,63.86163,64.15697
Core Area (mm²),LH1T-25,2304,2/1/2024 21:05,12.355,12.36584,12.28112,12.47262
Core Area (mm²),LH1T-26,2305,2/1/2024 21:15,12.348,12.35656,12.2479,12.45097
Anode Overhang (All) (mm),LH1T-26,2305,2/1/2024 21:15,0.566,0.574,0.4592,0.67559
Cathode Width (mm),LH1T-26,2305,2/1/2024 21:15,64.028,64.05842,63.8452,64.14057
Core Area (mm²),LH1T-27,2306,2/1/2024 21:24,12.348,12.35508,12.26686,12.40672
Anode Overhang (All) (mm),LH1T-27,2306,2/1/2024 21:24,0.558,0.55784,0.328,0.78788
Cathode Width (mm),LH1T-27,2306,2/1/2024 21:24,64.048,64.05861,63.9108,64.18962
Core Area (mm²),LH1T-28,2307,2/1/2024 21:33,12.417,12.4316,12.31649,12.50543
Anode Overhang (All) (mm),LH1T-28,2307,2/1/2024 21:33,0.565,0.55784,0.42256,0.70995
Cathode Width (mm),LH1T-28,2307,2/1/2024 21:33,64.038,64.05842,63.8781,64.17333
Core Area (mm²),LH1T-29,2308,2/1/2024 21:42,12.368,12.37808,12.2514,12.44922
Anode Overhang (All) (mm),LH1T-29,2308,2/1/2024 21:42,0.564,0.55856,0.4592,0.6726
Cathode Width (mm),LH1T-29,2308,2/1/2024 21:42,64.035,64.04215,63.87802,64.17325
Core Area (mm²),LH1T-30,2309,2/1/2024 21:52,12.303,12.30761,12.20204,12.42313
Anode Overhang (All) (mm),LH1T-30,2309,2/1/2024 21:52,0.552,0.55784,0.328,0.78788
Cathode Width (mm),LH1T-30,2309,2/1/2024 21:52,64.04,64.0584,63.8781,64.1568
Core Area (mm²),LH1T-31,2310,2/1/2024 22:01,12.485,12.49279,12.39031,12.57872
Anode Overhang (All) (mm),LH1T-31,2310,2/1/2024 22:01,0.565,0.55856,0.4264,0.70596
Cathode Width (mm),LH1T-31,2310,2/1/2024 22:01,64.027,64.04203,63.878,64.15683
Core Area (mm²),LH1T-32,2311,2/1/2024 22:10,12.582,12.57576,12.47423,12.71589
Anode Overhang (All) (mm),LH1T-32,2311,2/1/2024 22:10,0.556,0.54219,0.3936,0.73873
Cathode Width (mm),LH1T-32,2311,2/1/2024 22:10,64.033,64.04201,63.89441,64.14048
Core Area (mm²),LH1T-33,2312,2/1/2024 22:19,12.538,12.53972,12.46818,12.62875
Anode Overhang (All) (mm),LH1T-33,2312,2/1/2024 22:19,0.568,0.56145,0.3772,0.75725
Cathode Width (mm),LH1T-33,2312,2/1/2024 22:19,64.028,64.04205,63.8616,64.14045
Anode Overhang (All) (mm),LH1T-34,2313,2/1/2024 22:29,0.57,0.57494,0.41,0.74091
Cathode Width (mm),LH1T-34,2313,2/1/2024 22:29,64.026,64.04205,63.878,64.12405
Core Area (mm²),LH1T-34,2313,2/1/2024 22:29,12.652,12.64852,12.52883,12.79523
Core Area (mm²),LH1T-35,2314,2/1/2024 22:38,12.525,12.52453,12.46455,12.61449
Anode Overhang (All) (mm),LH1T-35,2314,2/1/2024 22:38,0.567,0.574,0.4756,0.66334
Cathode Width (mm),LH1T-35,2314,2/1/2024 22:38,64.029,64.04203,63.8616,64.15682
Core Area (mm²),LH1T-36,2315,2/1/2024 22:47,12.42,12.42098,12.38198,12.45688
Anode Overhang (All) (mm),LH1T-36,2315,2/1/2024 22:47,0.554,0.55856,0.328,0.80427
Cathode Width (mm),LH1T-36,2315,2/1/2024 22:47,64.022,64.02563,63.86161,64.14043
Core Area (mm²),LH1T-37,2316,2/1/2024 22:56,12.472,12.46737,12.39838,12.5962
Anode Overhang (All) (mm),LH1T-37,2316,2/1/2024 22:56,0.564,0.5636,0.3608,0.77097
Cathode Width (mm),LH1T-37,2316,2/1/2024 22:56,64.045,64.05842,63.9108,64.17322
Core Area (mm²),LH1T-38,2317,2/1/2024 23:06,12.493,12.49776,12.44599,12.52157
Anode Overhang (All) (mm),LH1T-38,2317,2/1/2024 23:06,0.566,0.56622,0.4264,0.70691
Cathode Width (mm),LH1T-38,2317,2/1/2024 23:06,64.032,64.04208,63.8616,64.1568
Core Area (mm²),LH1T-39,2318,2/1/2024 23:15,12.716,12.70607,12.63816,12.85145
Anode Overhang (All) (mm),LH1T-39,2318,2/1/2024 23:15,0.572,0.5904,0.3608,0.77097
Cathode Width (mm),LH1T-39,2318,2/1/2024 23:15,64.021,64.042,63.84521,64.1241
Core Area (mm²),LH1T-40,2319,2/1/2024 23:24,12.694,12.69115,12.59325,12.82522
Anode Overhang (All) (mm),LH1T-40,2319,2/1/2024 23:24,0.568,0.5761,0.41,0.73873
Cathode Width (mm),LH1T-40,2319,2/1/2024 23:24,64.023,64.042,63.878,64.14053
Core Area (mm²),LH1T-41,2320,2/1/2024 23:33,12.695,12.6972,12.62122,12.78031
Anode Overhang (All) (mm),LH1T-41,2320,2/1/2024 23:33,0.569,0.55784,0.4264,0.73964
Cathode Width (mm),LH1T-41,2320,2/1/2024 23:33,64.022,64.042,63.8616,64.14043
Core Area (mm²),LH1T-42,2321,2/1/2024 23:43,12.692,12.67945,12.60064,12.81473
Anode Overhang (All) (mm),LH1T-42,2321,2/1/2024 23:43,0.571,0.57423,0.4756,0.65682
Cathode Width (mm),LH1T-42,2321,2/1/2024 23:43,64.027,64.04201,63.87803,64.15693
Anode Overhang (All) (mm),LH1T-43,2322,2/1/2024 23:52,0.565,0.56145,0.3608,0.7715
Cathode Width (mm),LH1T-43,2322,2/1/2024 23:52,64.043,64.05841,63.9108,64.15685
Core Area (mm²),LH1T-43,2322,2/1/2024 23:52,12.419,12.41708,12.33935,12.56474
Core Area (mm²),LH1T-44,2323,2/2/2024 0:01,12.478,12.47652,12.34836,12.66412
Anode Overhang (All) (mm),LH1T-44,2323,2/2/2024 0:01,0.557,0.55856,0.3772,0.75458
Cathode Width (mm),LH1T-44,2323,2/2/2024 0:01,64.046,64.05848,63.878,64.17321
Core Area (mm²),LH1T-45,2324,2/2/2024 0:11,12.601,12.59876,12.51162,12.72517
Anode Overhang (All) (mm),LH1T-45,2324,2/2/2024 0:11,0.561,0.54516,0.41,0.72328
Cathode Width (mm),LH1T-45,2324,2/2/2024 0:11,64.031,64.04202,63.87801,64.1568
Core Area (mm²),LH1T-46,2325,2/2/2024 0:20,12.455,12.45836,12.38843,12.52668
Anode Overhang (All) (mm),LH1T-46,2325,2/2/2024 0:20,0.563,0.55977,0.39394,0.74254
Cathode Width (mm),LH1T-46,2325,2/2/2024 0:20,64.027,64.04213,63.84533,64.14065
Core Area (mm²),LH1T-47,2326,2/2/2024 0:29,12.58,12.58397,12.4433,12.74588
Anode Overhang (All) (mm),LH1T-47,2326,2/2/2024 0:29,0.558,0.55856,0.328,0.80377
Cathode Width (mm),LH1T-47,2326,2/2/2024 0:29,64.026,64.04201,63.86162,64.14041
Core Area (mm²),LH1T-48,2327,2/2/2024 0:38,12.576,12.57321,12.51511,12.67434
Anode Overhang (All) (mm),LH1T-48,2327,2/2/2024 0:38,0.563,0.55784,0.39666,0.72235
Cathode Width (mm),LH1T-48,2327,2/2/2024 0:38,64.028,64.04202,63.8944,64.15682
Core Area (mm²),LH1T-49,2328,2/2/2024 0:48,12.837,12.83907,12.73284,12.98082
Anode Overhang (All) (mm),LH1T-49,2328,2/2/2024 0:48,0.573,0.574,0.4428,0.69055
Cathode Width (mm),LH1T-49,2328,2/2/2024 0:48,64.026,64.042,63.878,64.14048
Core Area (mm²),LH1T-50,2329,2/2/2024 0:57,12.688,12.68752,12.61853,12.79497
Anode Overhang (All) (mm),LH1T-50,2329,2/2/2024 0:57,0.558,0.55856,0.41,0.72235
Cathode Width (mm),LH1T-50,2329,2/2/2024 0:57,64.025,64.042,63.8616,64.1404
Core Area (mm²),LH1T-51,2330,2/2/2024 1:06,12.534,12.53488,12.48069,12.59244
Anode Overhang (All) (mm),LH1T-51,2330,2/2/2024 1:06,0.565,0.574,0.41521,0.72328
Cathode Width (mm),LH1T-51,2330,2/2/2024 1:06,64.026,64.042,63.8616,64.1405
Anode Overhang (All) (mm),LH1T-52,2331,2/2/2024 1:15,0.559,0.55784,0.47814,0.64483
Cathode Width (mm),LH1T-52,2331,2/2/2024 1:15,64.027,64.04205,63.86163,64.15688
Core Area (mm²),LH1T-52,2331,2/2/2024 1:15,12.433,12.43604,12.37633,12.48405
Core Area (mm²),LH1T-53,2332,2/2/2024 1:24,12.564,12.56312,12.47477,12.69505
Anode Overhang (All) (mm),LH1T-53,2332,2/2/2024 1:24,0.565,0.5636,0.39496,0.73873
Cathode Width (mm),LH1T-53,2332,2/2/2024 1:24,64.025,64.042,63.86165,64.14057
Core Area (mm²),LH1T-54,2333,2/2/2024 1:34,12.447,12.44532,12.4082,12.48459
Anode Overhang (All) (mm),LH1T-54,2333,2/2/2024 1:34,0.561,0.5693,0.44401,0.6742
Cathode Width (mm),LH1T-54,2333,2/2/2024 1:34,64.022,64.042,63.8616,64.14043
Core Area (mm²),LH1T-55,2334,2/2/2024 1:43,12.678,12.66761,12.60306,12.78031
Anode Overhang (All) (mm),LH1T-55,2334,2/2/2024 1:43,0.572,0.59063,0.3608,0.7715
Cathode Width (mm),LH1T-55,2334,2/2/2024 1:43,64.027,64.04201,63.8616,64.14043
Core Area (mm²),LH1T-56,2335,2/2/2024 1:52,12.405,12.40672,12.28569,12.53892
Anode Overhang (All) (mm),LH1T-56,2335,2/2/2024 1:52,0.562,0.56622,0.36229,0.75511
Cathode Width (mm),LH1T-56,2335,2/2/2024 1:52,64.047,64.0584,63.878,64.15683
Core Area (mm²),LH1T-57,2336,2/2/2024 2:01,12.58,12.58034,12.48741,12.67595
Anode Overhang (All) (mm),LH1T-57,2336,2/2/2024 2:01,0.567,0.57423,0.3772,0.75458
Cathode Width (mm),LH1T-57,2336,2/2/2024 2:01,64.023,64.02572,63.86163,64.1405
Core Area (mm²),LH1T-58,2337,2/2/2024 2:11,12.497,12.50651,12.37767,12.66156
Anode Overhang (All) (mm),LH1T-58,2337,2/2/2024 2:11,0.563,0.55784,0.42672,0.70596
Cathode Width (mm),LH1T-58,2337,2/2/2024 2:11,64.027,64.04221,63.87801,64.15682
Core Area (mm²),LH1T-59,2338,2/2/2024 2:20,12.511,12.50946,12.46979,12.54416
Anode Overhang (All) (mm),LH1T-59,2338,2/2/2024 2:20,0.564,0.55784,0.45949,0.67559
Cathode Width (mm),LH1T-59,2338,2/2/2024 2:20,64.021,64.04201,63.878,64.14045
Core Area (mm²),LH1T-60,2339,2/2/2024 2:29,12.395,12.4004,12.31675,12.46145
Anode Overhang (All) (mm),LH1T-60,2339,2/2/2024 2:29,0.559,0.55784,0.44552,0.65784
Cathode Width (mm),LH1T-60,2339,2/2/2024 2:29,64.035,64.05842,63.878,64.1405
Anode Overhang (All) (mm),LH1T-61,2340,2/2/2024 2:39,0.557,0.55977,0.3116,0.80427
Cathode Width (mm),LH1T-61,2340,2/2/2024 2:39,64.051,64.07481,63.87801,64.15685
Core Area (mm²),LH1T-61,2340,2/2/2024 2:39,12.436,12.43416,12.40551,12.48714
Core Area (mm²),LH1T-62,2341,2/2/2024 2:48,12.725,12.72638,12.61772,12.84392
Anode Overhang (All) (mm),LH1T-62,2341,2/2/2024 2:48,0.557,0.55784,0.4428,0.6742
Cathode Width (mm),LH1T-62,2341,2/2/2024 2:48,64.034,64.0584,63.8944,64.15688
Core Area (mm²),LH1T-63,2342,2/2/2024 2:57,12.506,12.50772,12.4706,12.53609
Anode Overhang (All) (mm),LH1T-63,2342,2/2/2024 2:57,0.558,0.55784,0.3608,0.7715
Cathode Width (mm),LH1T-63,2342,2/2/2024 2:57,64.031,64.04217,63.84541,64.1569
Core Area (mm²),LH1T-64,2343,2/2/2024 3:06,12.497,12.49978,12.44895,12.53757
Anode Overhang (All) (mm),LH1T-64,2343,2/2/2024 3:06,0.561,0.55977,0.45949,0.65927
Cathode Width (mm),LH1T-64,2343,2/2/2024 3:06,64.023,64.042,63.84522,64.14041
Core Area (mm²),LH1T-65,2344,2/2/2024 3:16,12.69,12.68509,12.63251,12.80021
Anode Overhang (All) (mm),LH1T-65,2344,2/2/2024 3:16,0.565,0.574,0.3772,0.756
Cathode Width (mm),LH1T-65,2344,2/2/2024 3:16,64.025,64.042,63.8452,64.14043
Core Area (mm²),LH1T-66,2345,2/2/2024 3:25,12.506,12.50086,12.37781,12.64327
Anode Overhang (All) (mm),LH1T-66,2345,2/2/2024 3:25,0.563,0.55856,0.41,0.72235
Cathode Width (mm),LH1T-66,2345,2/2/2024 3:25,64.031,64.04203,63.8616,64.14041
Core Area (mm²),LH1T-67,2346,2/2/2024 3:34,12.593,12.59647,12.49252,12.72221
Anode Overhang (All) (mm),LH1T-67,2346,2/2/2024 3:34,0.56,0.5576,0.4264,0.69366
Cathode Width (mm),LH1T-67,2346,2/2/2024 3:34,64.025,64.0257,63.8616,64.12402
Core Area (mm²),LH1T-68,2347,2/2/2024 3:43,12.732,12.72208,12.64206,12.87417
Anode Overhang (All) (mm),LH1T-68,2347,2/2/2024 3:43,0.565,0.55784,0.3608,0.77097
Cathode Width (mm),LH1T-68,2347,2/2/2024 3:43,64.017,64.02565,63.878,64.12402
Core Area (mm²),LH1T-69,2348,2/2/2024 3:53,12.62,12.61907,12.54228,12.7409
Anode Overhang (All) (mm),LH1T-69,2348,2/2/2024 3:53,0.559,0.55784,0.3772,0.75511
Cathode Width (mm),LH1T-69,2348,2/2/2024 3:53,64.026,64.04203,63.8944,64.1404
Anode Overhang (All) (mm),LH1T-70,2349,2/2/2024 4:02,0.559,0.56622,0.39394,0.74091
Cathode Width (mm),LH1T-70,2349,2/2/2024 4:02,64.027,64.04202,63.8616,64.15681
Core Area (mm²),LH1T-70,2349,2/2/2024 4:02,12.494,12.50072,12.43362,12.55398
Core Area (mm²),LH1T-71,2350,2/2/2024 4:11,12.729,12.71993,12.62713,12.85723
Anode Overhang (All) (mm),LH1T-71,2350,2/2/2024 4:11,0.571,0.57423,0.37756,0.75725
Cathode Width (mm),LH1T-71,2350,2/2/2024 4:11,64.026,64.04205,63.8452,64.14043
Core Area (mm²),LH1T-72,2351,2/2/2024 4:20,12.573,12.57522,12.47679,12.65793
Anode Overhang (All) (mm),LH1T-72,2351,2/2/2024 4:20,0.564,0.574,0.3936,0.73873
Cathode Width (mm),LH1T-72,2351,2/2/2024 4:20,64.033,64.0584,63.84521,64.1569
Core Area (mm²),LH1T-73,2352,2/2/2024 4:30,12.694,12.68832,12.63897,12.78515
Anode Overhang (All) (mm),LH1T-73,2352,2/2/2024 4:30,0.57,0.59063,0.3444,0.78788
Cathode Width (mm),LH1T-73,2352,2/2/2024 4:30,64.023,64.04203,63.84523,64.14048
Core Area (mm²),LH1T-74,2353,2/2/2024 4:39,12.525,12.52493,12.48216,12.55963
Anode Overhang (All) (mm),LH1T-74,2353,2/2/2024 4:39,0.563,0.55784,0.39394,0.72328
Cathode Width (mm),LH1T-74,2353,2/2/2024 4:39,64.023,64.04201,63.878,64.14061
Core Area (mm²),LH1T-75,2354,2/2/2024 4:48,12.424,12.42111,12.30452,12.5884
Anode Overhang (All) (mm),LH1T-75,2354,2/2/2024 4:48,0.556,0.5576,0.2624,0.85343
Cathode Width (mm),LH1T-75,2354,2/2/2024 4:48,64.043,64.0585,63.91085,64.1569
Core Area (mm²),LH1T-76,2355,2/2/2024 4:57,12.555,12.55653,12.51094,12.59782
Anode Overhang (All) (mm),LH1T-76,2355,2/2/2024 4:57,0.56,0.56622,0.34479,0.77237
Cathode Width (mm),LH1T-76,2355,2/2/2024 4:57,64.024,64.042,63.8616,64.14048
Core Area (mm²),LH1T-77,2356,2/2/2024 5:07,12.472,12.47436,12.4316,12.50624
Anode Overhang (All) (mm),LH1T-77,2356,2/2/2024 5:07,0.564,0.5636,0.40205,0.72458
Cathode Width (mm),LH1T-77,2356,2/2/2024 5:07,64.029,64.04217,63.86163,64.15693
Core Area (mm²),LH1T-78,2357,2/2/2024 5:16,12.552,12.55236,12.47194,12.66923
Anode Overhang (All) (mm),LH1T-78,2357,2/2/2024 5:16,0.558,0.55784,0.34479,0.80427
Cathode Width (mm),LH1T-78,2357,2/2/2024 5:16,64.033,64.04202,63.8616,64.14041
Anode Overhang (All) (mm),LH1T-79,2358,2/2/2024 5:25,0.567,0.57423,0.3936,0.75511
Cathode Width (mm),LH1T-79,2358,2/2/2024 5:25,64.032,64.0584,63.878,64.15683
Core Area (mm²),LH1T-79,2358,2/2/2024 5:25,12.719,12.72114,12.5954,12.85158
Core Area (mm²),LH1T-80,2360,2/2/2024 5:35,12.4,12.40282,12.34473,12.46455
Anode Overhang (All) (mm),LH1T-80,2360,2/2/2024 5:35,0.564,0.55784,0.41521,0.70596
Cathode Width (mm),LH1T-80,2360,2/2/2024 5:35,64.028,64.04202,63.86168,64.14057
Core Area (mm²),LH1T-81,2368,2/2/2024 9:59,12.723,12.72248,12.62054,12.83612
