metric,sn,scan_id,scan_processed_date,mean,median,min,max
Anode Overhang (Bottom) (mm),LLAQ21T062767,1816,1/25/2024 2:03,0.703,0.70619,0.648,0.76659
Cathode Width (mm),LLAQ21T062767,1816,1/25/2024 2:03,57.903,57.9168,57.75842,58.01769
Core Area (mm²),LLAQ21T072663,1817,1/25/2024 2:12,13.275,13.27726,13.24035,13.31635
Anode Overhang (All) (mm),LLAQ21T072663,1817,1/25/2024 2:12,0.719,0.72,0.5616,0.87946
Anode Overhang (Top) (mm),LLAQ21T072663,1817,1/25/2024 2:12,0.661,0.64864,0.5616,0.76374
Anode Overhang (Bottom) (mm),LLAQ21T072663,1817,1/25/2024 2:12,0.777,0.79252,0.61937,0.87946
Cathode Width (mm),LLAQ21T072663,1817,1/25/2024 2:12,57.926,57.93123,57.75842,58.04644
Core Area (mm²),KLAQ34T029179,1818,1/25/2024 2:21,13.114,13.10899,13.02926,13.24595
Anode Overhang (All) (mm),KLAQ34T029179,1818,1/25/2024 2:21,0.716,0.70795,0.54644,0.87852
Anode Overhang (Top) (mm),KLAQ34T029179,1818,1/25/2024 2:21,0.639,0.64399,0.54644,0.72129
Anode Overhang (Bottom) (mm),KLAQ34T029179,1818,1/25/2024 2:21,0.792,0.79213,0.55022,0.87852
Cathode Width (mm),KLAQ34T029179,1818,1/25/2024 2:21,57.922,57.91695,57.75841,58.03211
Core Area (mm²),KLAQ34T029053,1819,1/25/2024 2:31,13.121,13.13854,12.99722,13.18457
Anode Overhang (All) (mm),KLAQ34T029053,1819,1/25/2024 2:31,0.717,0.72058,0.64672,0.78411
Anode Overhang (Top) (mm),KLAQ34T029053,1819,1/25/2024 2:31,0.699,0.7056,0.64672,0.75225
Anode Overhang (Bottom) (mm),KLAQ34T029053,1819,1/25/2024 2:31,0.735,0.73454,0.67695,0.78411
Cathode Width (mm),KLAQ34T029053,1819,1/25/2024 2:31,57.926,57.93131,57.7728,58.03218
Core Area (mm²),KLAQ34T029235,1820,1/25/2024 2:40,12.936,12.93978,12.78717,13.04948
Anode Overhang (All) (mm),KLAQ34T029235,1820,1/25/2024 2:40,0.714,0.72,0.6663,0.75993
Anode Overhang (Top) (mm),KLAQ34T029235,1820,1/25/2024 2:40,0.704,0.7056,0.6663,0.75101
Anode Overhang (Bottom) (mm),KLAQ34T029235,1820,1/25/2024 2:40,0.724,0.72058,0.6912,0.75993
Cathode Width (mm),KLAQ34T029235,1820,1/25/2024 2:40,57.925,57.9312,57.75841,58.04642
Core Area (mm²),KLAQ23T048019,1821,1/25/2024 2:50,13.206,13.20717,13.15295,13.25341
Anode Overhang (All) (mm),KLAQ23T048019,1821,1/25/2024 2:50,0.718,0.72014,0.5616,0.87887
Anode Overhang (Top) (mm),KLAQ23T048019,1821,1/25/2024 2:50,0.737,0.73792,0.6336,0.87887
Anode Overhang (Bottom) (mm),KLAQ23T048019,1821,1/25/2024 2:50,0.698,0.69255,0.5616,0.79318
Cathode Width (mm),KLAQ23T048019,1821,1/25/2024 2:50,57.889,57.88802,57.7296,58.00323
Core Area (mm²),KLAQ31T085023,1822,1/25/2024 2:59,13.221,13.22231,13.17856,13.28587
Anode Overhang (All) (mm),KLAQ31T085023,1822,1/25/2024 2:59,0.709,0.72014,0.50297,0.9072
Anode Overhang (Top) (mm),KLAQ31T085023,1822,1/25/2024 2:59,0.806,0.80653,0.7056,0.87852
Anode Overhang (Bottom) (mm),KLAQ31T085023,1822,1/25/2024 2:59,0.612,0.61937,0.50297,0.9072
Cathode Width (mm),KLAQ31T085023,1822,1/25/2024 2:59,57.894,57.88803,57.7584,58.01763
Core Area (mm²),LLAQ21T062668,1824,1/25/2024 3:18,13.417,13.40593,13.28649,13.60344
Anode Overhang (All) (mm),LLAQ21T062668,1824,1/25/2024 3:18,0.725,0.72058,0.5328,0.90766
Anode Overhang (Top) (mm),LLAQ21T062668,1824,1/25/2024 3:18,0.747,0.76157,0.6336,0.90766
Anode Overhang (Bottom) (mm),LLAQ21T062668,1824,1/25/2024 3:18,0.703,0.6918,0.5328,0.82533
Cathode Width (mm),LLAQ21T062668,1824,1/25/2024 3:18,57.895,57.90241,57.7584,58.0032
Core Area (mm²),KLAQ34T028378,1825,1/25/2024 3:28,13.145,13.12102,13.07,13.29852
Anode Overhang (All) (mm),KLAQ34T028378,1825,1/25/2024 3:28,0.721,0.72058,0.6048,0.83632
Anode Overhang (Top) (mm),KLAQ34T028378,1825,1/25/2024 3:28,0.746,0.73666,0.6192,0.83632
Anode Overhang (Bottom) (mm),KLAQ34T028378,1825,1/25/2024 3:28,0.695,0.70575,0.6048,0.82093
Cathode Width (mm),KLAQ34T028378,1825,1/25/2024 3:28,57.911,57.90246,57.78722,58.0179
Core Area (mm²),LLAQ33T068471,1827,1/25/2024 3:46,12.977,12.98478,12.91739,13.02439
Anode Overhang (All) (mm),LLAQ33T068471,1827,1/25/2024 3:46,0.71,0.70575,0.4032,0.99621
Anode Overhang (Top) (mm),LLAQ33T068471,1827,1/25/2024 3:46,0.853,0.82533,0.72,0.99621
Anode Overhang (Bottom) (mm),LLAQ33T068471,1827,1/25/2024 3:46,0.581,0.6048,0.4032,0.76442
Cathode Width (mm),LLAQ33T068471,1827,1/25/2024 3:46,57.891,57.888,57.7008,58.01795
Anode Overhang (All) (mm),KLAQ31T084459,1828,1/25/2024 3:56,0.709,0.72,0.45537,0.93611
Anode Overhang (Top) (mm),KLAQ31T084459,1828,1/25/2024 3:56,0.829,0.82395,0.45537,0.93611
Anode Overhang (Bottom) (mm),KLAQ31T084459,1828,1/25/2024 3:56,0.59,0.5911,0.47233,0.79318
Cathode Width (mm),KLAQ31T084459,1828,1/25/2024 3:56,57.902,57.90242,57.7728,58.00346
Core Area (mm²),KLAQ31T084459,1828,1/25/2024 3:56,12.963,12.95782,12.88452,13.0473
Core Area (mm²),KLAQ34T029004,1829,1/25/2024 4:05,13.096,13.10577,12.95907,13.19566
Anode Overhang (All) (mm),KLAQ34T029004,1829,1/25/2024 4:05,0.714,0.70758,0.5328,0.92171
Anode Overhang (Top) (mm),KLAQ34T029004,1829,1/25/2024 4:05,0.608,0.60549,0.5328,0.68062
Anode Overhang (Bottom) (mm),KLAQ34T029004,1829,1/25/2024 4:05,0.819,0.82093,0.73454,0.92171
Cathode Width (mm),KLAQ34T029004,1829,1/25/2024 4:05,57.924,57.91685,57.75841,58.03222
Core Area (mm²),LLAQ33T068452,1830,1/25/2024 4:15,13.071,13.06337,12.99069,13.18229
Anode Overhang (All) (mm),LLAQ33T068452,1830,1/25/2024 4:15,0.728,0.74894,0.5184,0.92205
Anode Overhang (Top) (mm),LLAQ33T068452,1830,1/25/2024 4:15,0.824,0.80756,0.64816,0.92205
Anode Overhang (Bottom) (mm),LLAQ33T068452,1830,1/25/2024 4:15,0.632,0.63768,0.5184,0.89326
Cathode Width (mm),LLAQ33T068452,1830,1/25/2024 4:15,57.901,57.9024,57.75842,58.0324
Core Area (mm²),LLAQ33T068539,1831,1/25/2024 4:24,13.066,13.06389,13.02387,13.13532
Anode Overhang (All) (mm),LLAQ33T068539,1831,1/25/2024 4:24,0.726,0.72058,0.4464,0.99402
Anode Overhang (Top) (mm),LLAQ33T068539,1831,1/25/2024 4:24,0.852,0.8496,0.7056,0.99402
Anode Overhang (Bottom) (mm),LLAQ33T068539,1831,1/25/2024 4:24,0.599,0.61305,0.4464,0.74935
Cathode Width (mm),LLAQ33T068539,1831,1/25/2024 4:24,57.885,57.88803,57.70082,58.00342
Core Area (mm²),KLAQ31T085009,1832,1/25/2024 4:33,13.11,13.11324,13.02521,13.16487
Anode Overhang (All) (mm),KLAQ31T085009,1832,1/25/2024 4:33,0.706,0.70898,0.46639,0.8928
Anode Overhang (Top) (mm),KLAQ31T085009,1832,1/25/2024 4:33,0.822,0.82131,0.46639,0.8928
Anode Overhang (Bottom) (mm),KLAQ31T085009,1832,1/25/2024 4:33,0.59,0.59198,0.4915,0.7776
Cathode Width (mm),KLAQ31T085009,1832,1/25/2024 4:33,57.897,57.90244,57.7584,58.00342
Core Area (mm²),LLAQ21T072769,1833,1/25/2024 4:43,13.171,13.174,13.12641,13.22169
Anode Overhang (All) (mm),LLAQ21T072769,1833,1/25/2024 4:43,0.715,0.72,0.5616,0.86592
Anode Overhang (Top) (mm),LLAQ21T072769,1833,1/25/2024 4:43,0.667,0.66256,0.5616,0.79252
Anode Overhang (Bottom) (mm),LLAQ21T072769,1833,1/25/2024 4:43,0.764,0.77773,0.60497,0.86592
Cathode Width (mm),LLAQ21T072769,1833,1/25/2024 4:43,57.914,57.9312,57.7584,58.03211
Core Area (mm²),LLAQ21T037039,1834,1/25/2024 4:52,13.201,13.20365,13.13926,13.25518
Anode Overhang (All) (mm),LLAQ21T037039,1834,1/25/2024 4:52,0.731,0.7344,0.6192,0.8357
Anode Overhang (Top) (mm),LLAQ21T037039,1834,1/25/2024 4:52,0.738,0.73666,0.64816,0.8357
Anode Overhang (Bottom) (mm),LLAQ21T037039,1834,1/25/2024 4:52,0.724,0.72129,0.6192,0.80653
Cathode Width (mm),LLAQ21T037039,1834,1/25/2024 4:52,57.904,57.90255,57.74402,58.01795
Anode Overhang (All) (mm),KLAQ31T084946,1835,1/25/2024 5:02,0.712,0.72,0.5328,0.89292
Anode Overhang (Top) (mm),KLAQ31T084946,1835,1/25/2024 5:02,0.804,0.80653,0.67695,0.89292
Anode Overhang (Bottom) (mm),KLAQ31T084946,1835,1/25/2024 5:02,0.62,0.62071,0.5328,0.80756
Cathode Width (mm),KLAQ31T084946,1835,1/25/2024 5:02,57.898,57.9024,57.74401,58.0032
Core Area (mm²),KLAQ31T084946,1835,1/25/2024 5:02,13.212,13.21132,13.17109,13.25538
Core Area (mm²),KLAQ34T028410,1836,1/25/2024 5:11,13.131,13.13657,13.06389,13.1854
Anode Overhang (All) (mm),KLAQ34T028410,1836,1/25/2024 5:11,0.718,0.72036,0.4608,0.96523
Anode Overhang (Top) (mm),KLAQ34T028410,1836,1/25/2024 5:11,0.832,0.80653,0.7056,0.96523
Anode Overhang (Bottom) (mm),KLAQ34T028410,1836,1/25/2024 5:11,0.604,0.63376,0.4608,0.73454
Cathode Width (mm),KLAQ34T028410,1836,1/25/2024 5:11,57.92,57.91702,57.75841,58.03214
Core Area (mm²),KLAQ34T029115,1837,1/25/2024 5:20,13.169,13.17078,13.11936,13.20562
Anode Overhang (All) (mm),KLAQ34T029115,1837,1/25/2024 5:20,0.716,0.72014,0.66083,0.76807
Anode Overhang (Top) (mm),KLAQ34T029115,1837,1/25/2024 5:20,0.709,0.70795,0.66083,0.75101
Anode Overhang (Bottom) (mm),KLAQ34T029115,1837,1/25/2024 5:20,0.724,0.72014,0.6768,0.76807
Cathode Width (mm),KLAQ34T029115,1837,1/25/2024 5:20,57.929,57.93122,57.7872,58.03209
Core Area (mm²),KLAQ31T084490,1838,1/25/2024 5:30,13.046,13.04813,12.9797,13.08887
Anode Overhang (All) (mm),KLAQ31T084490,1838,1/25/2024 5:30,0.709,0.72014,0.504,0.89292
Anode Overhang (Top) (mm),KLAQ31T084490,1838,1/25/2024 5:30,0.797,0.79213,0.67741,0.89292
Anode Overhang (Bottom) (mm),KLAQ31T084490,1838,1/25/2024 5:30,0.62,0.63507,0.504,0.72129
Cathode Width (mm),KLAQ31T084490,1838,1/25/2024 5:30,57.907,57.91689,57.77281,58.01769
Core Area (mm²),KLAQ33T009402,1839,1/25/2024 5:39,13.563,13.55409,13.45621,13.6615
Anode Overhang (All) (mm),KLAQ33T009402,1839,1/25/2024 5:39,0.725,0.72014,0.576,0.86448
Anode Overhang (Top) (mm),KLAQ33T009402,1839,1/25/2024 5:39,0.764,0.76334,0.66256,0.86448
Anode Overhang (Bottom) (mm),KLAQ33T009402,1839,1/25/2024 5:39,0.683,0.67818,0.576,0.77773
Cathode Width (mm),KLAQ33T009402,1839,1/25/2024 5:39,57.914,57.91683,57.7008,58.03218
Core Area (mm²),KLAQ34T029005,1840,1/25/2024 5:49,13.476,13.49447,13.3376,13.6391
Anode Overhang (All) (mm),KLAQ34T029005,1840,1/25/2024 5:49,0.719,0.7344,0.55398,0.87852
Anode Overhang (Top) (mm),KLAQ34T029005,1840,1/25/2024 5:49,0.644,0.64816,0.55398,0.70575
Anode Overhang (Bottom) (mm),KLAQ34T029005,1840,1/25/2024 5:49,0.792,0.79213,0.72,0.87852
Cathode Width (mm),KLAQ34T029005,1840,1/25/2024 5:49,57.921,57.9312,57.7584,58.03211
Core Area (mm²),LLAQ21T001011,1841,1/25/2024 5:58,12.982,12.98011,12.77711,13.21941
Anode Overhang (All) (mm),LLAQ21T001011,1841,1/25/2024 5:58,0.737,0.73514,0.5472,0.90903
Anode Overhang (Top) (mm),LLAQ21T001011,1841,1/25/2024 5:58,0.634,0.63376,0.5472,0.69255
Anode Overhang (Bottom) (mm),LLAQ21T001011,1841,1/25/2024 5:58,0.84,0.83532,0.77773,0.90903
Cathode Width (mm),LLAQ21T001011,1841,1/25/2024 5:58,57.9,57.9027,57.68644,58.032
Core Area (mm²),LLAQ21T036931,1842,1/25/2024 6:07,13.514,13.50588,13.42542,13.60447
Anode Overhang (All) (mm),LLAQ21T036931,1842,1/25/2024 6:07,0.726,0.72359,0.5616,0.87946
Anode Overhang (Top) (mm),LLAQ21T036931,1842,1/25/2024 6:07,0.716,0.72014,0.5904,0.87887
Anode Overhang (Bottom) (mm),LLAQ21T036931,1842,1/25/2024 6:07,0.736,0.73454,0.5616,0.87946
Cathode Width (mm),LLAQ21T036931,1842,1/25/2024 6:07,57.898,57.9168,57.744,58.01763
Core Area (mm²),LLAQ21T037031,1843,1/25/2024 6:17,13.385,13.38623,13.31262,13.4417
Anode Overhang (All) (mm),LLAQ21T037031,1843,1/25/2024 6:17,0.726,0.72014,0.5472,0.89326
Anode Overhang (Top) (mm),LLAQ21T037031,1843,1/25/2024 6:17,0.783,0.78411,0.6768,0.89326
Anode Overhang (Bottom) (mm),LLAQ21T037031,1843,1/25/2024 6:17,0.666,0.66256,0.5472,0.77973
Cathode Width (mm),LLAQ21T037031,1843,1/25/2024 6:17,57.901,57.90243,57.744,58.00346
Core Area (mm²),LLAQ21T062571,1844,1/25/2024 6:26,13.486,13.48825,13.4559,13.53646
Anode Overhang (All) (mm),LLAQ21T062571,1844,1/25/2024 6:26,0.707,0.70575,0.5184,0.89326
Anode Overhang (Top) (mm),LLAQ21T062571,1844,1/25/2024 6:26,0.751,0.7344,0.66941,0.89326
Anode Overhang (Bottom) (mm),LLAQ21T062571,1844,1/25/2024 6:26,0.663,0.67741,0.5184,0.75005
Cathode Width (mm),LLAQ21T062571,1844,1/25/2024 6:26,57.904,57.90266,57.7584,58.00346
Core Area (mm²),LLAQ21T072669,1845,1/25/2024 6:35,13.182,13.18499,13.12599,13.23257
Anode Overhang (All) (mm),LLAQ21T072669,1845,1/25/2024 6:35,0.717,0.72,0.5472,0.89384
Anode Overhang (Top) (mm),LLAQ21T072669,1845,1/25/2024 6:35,0.667,0.65579,0.5472,0.84972
Anode Overhang (Bottom) (mm),LLAQ21T072669,1845,1/25/2024 6:35,0.768,0.78093,0.57672,0.89384
Cathode Width (mm),LLAQ21T072669,1845,1/25/2024 6:35,57.911,57.91681,57.74401,58.01786
Core Area (mm²),LLAQ21T037042,1846,1/25/2024 6:45,13.385,13.38571,13.3292,13.43071
Anode Overhang (All) (mm),LLAQ21T037042,1846,1/25/2024 6:45,0.729,0.7344,0.5472,0.89384
Anode Overhang (Top) (mm),LLAQ21T037042,1846,1/25/2024 6:45,0.773,0.792,0.64816,0.89384
Anode Overhang (Bottom) (mm),LLAQ21T037042,1846,1/25/2024 6:45,0.682,0.67234,0.5472,0.80756
Cathode Width (mm),LLAQ21T037042,1846,1/25/2024 6:45,57.909,57.91683,57.7584,58.01764
Core Area (mm²),LLAQ21T000995,1847,1/25/2024 6:54,12.938,12.92174,12.74673,13.11759
Anode Overhang (All) (mm),LLAQ21T000995,1847,1/25/2024 6:54,0.737,0.74935,0.57329,0.87946
Anode Overhang (Top) (mm),LLAQ21T000995,1847,1/25/2024 6:54,0.66,0.67118,0.57329,0.70926
Anode Overhang (Bottom) (mm),LLAQ21T000995,1847,1/25/2024 6:54,0.813,0.80653,0.73426,0.87946
Cathode Width (mm),LLAQ21T000995,1847,1/25/2024 6:54,57.903,57.91684,57.7008,58.01795
Anode Overhang (All) (mm),KLAQ31T054089,1848,1/25/2024 7:04,0.731,0.73454,0.6624,0.79527
Anode Overhang (Top) (mm),KLAQ31T054089,1848,1/25/2024 7:04,0.757,0.7632,0.67003,0.79527
Anode Overhang (Bottom) (mm),KLAQ31T054089,1848,1/25/2024 7:04,0.705,0.7056,0.6624,0.79213
Cathode Width (mm),KLAQ31T054089,1848,1/25/2024 7:04,57.88,57.88802,57.744,58.0036
Core Area (mm²),KLAQ31T054089,1848,1/25/2024 7:04,13.268,13.24647,13.18841,13.41153
Core Area (mm²),KLAQ33T009370,1849,1/25/2024 7:13,13.205,13.19846,13.12008,13.27654
Anode Overhang (All) (mm),KLAQ33T009370,1849,1/25/2024 7:13,0.721,0.72129,0.5904,0.8357
Anode Overhang (Top) (mm),KLAQ33T009370,1849,1/25/2024 7:13,0.737,0.7488,0.63376,0.8357
Anode Overhang (Bottom) (mm),KLAQ33T009370,1849,1/25/2024 7:13,0.704,0.7056,0.5904,0.79527
Cathode Width (mm),KLAQ33T009370,1849,1/25/2024 7:13,57.917,57.93121,57.7296,58.03203
Core Area (mm²),KLAQ34T029023,1850,1/25/2024 7:22,13.314,13.31065,13.15191,13.50339
Anode Overhang (All) (mm),KLAQ34T029023,1850,1/25/2024 7:22,0.717,0.72183,0.52417,0.91641
Anode Overhang (Top) (mm),KLAQ34T029023,1850,1/25/2024 7:22,0.606,0.60497,0.52417,0.67925
Anode Overhang (Bottom) (mm),KLAQ34T029023,1850,1/25/2024 7:22,0.829,0.82093,0.76442,0.91641
Cathode Width (mm),KLAQ34T029023,1850,1/25/2024 7:22,57.919,57.91691,57.7728,58.032
Core Area (mm²),KLAQ23T055274,1851,1/25/2024 7:32,13.332,13.30536,13.25082,13.60313
Anode Overhang (All) (mm),KLAQ23T055274,1851,1/25/2024 7:32,0.743,0.7488,0.68427,0.79527
Anode Overhang (Top) (mm),KLAQ23T055274,1851,1/25/2024 7:32,0.753,0.74935,0.68427,0.79318
Anode Overhang (Bottom) (mm),KLAQ23T055274,1851,1/25/2024 7:32,0.734,0.73454,0.6912,0.79527
Cathode Width (mm),KLAQ23T055274,1851,1/25/2024 7:32,57.876,57.87375,57.74403,57.98881
Core Area (mm²),LLAQ21T000929,1852,1/25/2024 7:41,12.744,12.75938,12.51179,12.9431
Anode Overhang (All) (mm),LLAQ21T000929,1852,1/25/2024 7:41,0.735,0.73454,0.576,0.89326
Anode Overhang (Top) (mm),LLAQ21T000929,1852,1/25/2024 7:41,0.686,0.67818,0.576,0.79213
Anode Overhang (Bottom) (mm),LLAQ21T000929,1852,1/25/2024 7:41,0.781,0.79213,0.7056,0.89326
Cathode Width (mm),LLAQ21T000929,1852,1/25/2024 7:41,57.892,57.88846,57.68643,58.01762
Core Area (mm²),KLAQ31T085135,1853,1/25/2024 7:51,13.167,13.17234,13.12298,13.20012
Anode Overhang (All) (mm),KLAQ31T085135,1853,1/25/2024 7:51,0.709,0.70575,0.517,0.9072
Anode Overhang (Top) (mm),KLAQ31T085135,1853,1/25/2024 7:51,0.794,0.792,0.6912,0.9072
Anode Overhang (Bottom) (mm),KLAQ31T085135,1853,1/25/2024 7:51,0.622,0.63621,0.517,0.70692
Cathode Width (mm),KLAQ31T085135,1853,1/25/2024 7:51,57.908,57.9168,57.7728,58.0176
Core Area (mm²),KLAQ33T007805,1854,1/25/2024 8:00,13.325,13.31542,13.23569,13.47301
Anode Overhang (All) (mm),KLAQ33T007805,1854,1/25/2024 8:00,0.725,0.72058,0.5904,0.84972
Anode Overhang (Top) (mm),KLAQ33T007805,1854,1/25/2024 8:00,0.778,0.77813,0.6912,0.84972
Anode Overhang (Bottom) (mm),KLAQ33T007805,1854,1/25/2024 8:00,0.671,0.67695,0.5904,0.76374
Cathode Width (mm),KLAQ33T007805,1854,1/25/2024 8:00,57.879,57.888,57.68643,57.98883
Core Area (mm²),KLAQ34T028458,1855,1/25/2024 8:12,13.19,13.19214,13.13667,13.23423
Anode Overhang (All) (mm),KLAQ34T028458,1855,1/25/2024 8:12,0.715,0.72014,0.4608,0.96577
Anode Overhang (Top) (mm),KLAQ34T028458,1855,1/25/2024 8:12,0.816,0.79141,0.6336,0.96577
Anode Overhang (Bottom) (mm),KLAQ34T028458,1855,1/25/2024 8:12,0.615,0.648,0.4608,0.8208
Cathode Width (mm),KLAQ34T028458,1855,1/25/2024 8:12,57.926,57.93121,57.7296,58.0464
Core Area (mm²),LLAQ21T062664,1856,1/25/2024 8:51,13.297,13.30007,13.22158,13.3601
Anode Overhang (All) (mm),LLAQ21T062664,1856,1/25/2024 8:51,0.706,0.70575,0.648,0.76442
Anode Overhang (Top) (mm),LLAQ21T062664,1856,1/25/2024 8:51,0.711,0.70575,0.648,0.76374
Anode Overhang (Bottom) (mm),LLAQ21T062664,1856,1/25/2024 8:51,0.701,0.70575,0.648,0.76442
Cathode Width (mm),LLAQ21T062664,1856,1/25/2024 8:51,57.9,57.9024,57.7296,58.00331
Core Area (mm²),KLAQ34T029153,1857,1/25/2024 9:22,13.215,13.20862,13.12692,13.32879
Anode Overhang (All) (mm),KLAQ34T029153,1857,1/25/2024 9:22,0.717,0.70847,0.55022,0.92205
Anode Overhang (Top) (mm),KLAQ34T029153,1857,1/25/2024 9:22,0.615,0.6192,0.55022,0.66801
Anode Overhang (Bottom) (mm),KLAQ34T029153,1857,1/25/2024 9:22,0.82,0.82093,0.74894,0.92205
Cathode Width (mm),KLAQ34T029153,1857,1/25/2024 9:22,57.93,57.9456,57.7728,58.032
Anode Overhang (All) (mm),KLAQ34T029083,1858,1/25/2024 9:32,0.717,0.72,0.6649,0.76659
Anode Overhang (Top) (mm),KLAQ34T029083,1858,1/25/2024 9:32,0.719,0.72,0.6649,0.76537
Anode Overhang (Bottom) (mm),KLAQ34T029083,1858,1/25/2024 9:32,0.715,0.72,0.6649,0.76659
Cathode Width (mm),KLAQ34T029083,1858,1/25/2024 9:32,57.927,57.93122,57.75841,58.03218
Core Area (mm²),KLAQ34T029083,1858,1/25/2024 9:32,12.976,12.98934,12.86223,13.05259
Core Area (mm²),LLAQ33T068488,1859,1/25/2024 9:41,13.201,13.20251,13.14735,13.24398
Anode Overhang (All) (mm),LLAQ33T068488,1859,1/25/2024 9:41,0.726,0.7344,0.5328,0.90766
Anode Overhang (Top) (mm),LLAQ33T068488,1859,1/25/2024 9:41,0.829,0.80845,0.7056,0.90766
Anode Overhang (Bottom) (mm),LLAQ33T068488,1859,1/25/2024 9:41,0.622,0.63425,0.5328,0.77773
Cathode Width (mm),LLAQ33T068488,1859,1/25/2024 9:41,57.898,57.9024,57.75841,58.01774
Core Area (mm²),KLAQ34T029039,1860,1/25/2024 9:51,13.405,13.40728,13.3262,13.46129
Anode Overhang (All) (mm),KLAQ34T029039,1860,1/25/2024 9:51,0.719,0.71478,0.55585,0.86699
Anode Overhang (Top) (mm),KLAQ34T029039,1860,1/25/2024 9:51,0.636,0.63466,0.55585,0.68062
Anode Overhang (Bottom) (mm),KLAQ34T029039,1860,1/25/2024 9:51,0.802,0.8064,0.74894,0.86699
Cathode Width (mm),KLAQ34T029039,1860,1/25/2024 9:51,57.924,57.9313,57.7728,58.04654
Core Area (mm²),KLAQ34T029052,1861,1/25/2024 10:00,13.218,13.21495,13.14517,13.28296
Anode Overhang (All) (mm),KLAQ34T029052,1861,1/25/2024 10:00,0.72,0.73454,0.58351,0.85265
Anode Overhang (Top) (mm),KLAQ34T029052,1861,1/25/2024 10:00,0.656,0.6624,0.58351,0.73496
Anode Overhang (Bottom) (mm),KLAQ34T029052,1861,1/25/2024 10:00,0.784,0.77813,0.69135,0.85265
Cathode Width (mm),KLAQ34T029052,1861,1/25/2024 10:00,57.928,57.9312,57.78722,58.03211
Core Area (mm²),KLAQ33T009339,1862,1/25/2024 10:09,13.383,13.3656,13.29748,13.49768
Anode Overhang (All) (mm),KLAQ33T009339,1862,1/25/2024 10:09,0.728,0.7223,0.576,0.86448
Anode Overhang (Top) (mm),KLAQ33T009339,1862,1/25/2024 10:09,0.736,0.73496,0.6048,0.86448
Anode Overhang (Bottom) (mm),KLAQ33T009339,1862,1/25/2024 10:09,0.718,0.72,0.576,0.8357
Cathode Width (mm),KLAQ33T009339,1862,1/25/2024 10:09,57.922,57.93138,57.744,58.03201
Core Area (mm²),LLAQ21T072608,1863,1/25/2024 10:19,13.201,13.19992,13.16829,13.25476
Anode Overhang (All) (mm),LLAQ21T072608,1863,1/25/2024 10:19,0.716,0.70575,0.504,0.93644
Anode Overhang (Top) (mm),LLAQ21T072608,1863,1/25/2024 10:19,0.611,0.60497,0.504,0.74894
Anode Overhang (Bottom) (mm),LLAQ21T072608,1863,1/25/2024 10:19,0.82,0.83532,0.6912,0.93644
Cathode Width (mm),LLAQ21T072608,1863,1/25/2024 10:19,57.918,57.91682,57.7296,58.03211
Core Area (mm²),KLAQ31T084976,1864,1/25/2024 10:28,13.06,13.0531,12.99318,13.1798
Anode Overhang (All) (mm),KLAQ31T084976,1864,1/25/2024 10:28,0.708,0.70575,0.47542,0.89326
Anode Overhang (Top) (mm),KLAQ31T084976,1864,1/25/2024 10:28,0.833,0.82194,0.55192,0.89326
Anode Overhang (Bottom) (mm),KLAQ31T084976,1864,1/25/2024 10:28,0.583,0.5911,0.47542,0.76374
Cathode Width (mm),KLAQ31T084976,1864,1/25/2024 10:28,57.906,57.91689,57.72995,58.01771
Core Area (mm²),LLAQ21T036929,1865,1/25/2024 10:38,13.578,13.57596,13.50359,13.67622
Anode Overhang (All) (mm),LLAQ21T036929,1865,1/25/2024 10:38,0.726,0.72058,0.5616,0.87946
Anode Overhang (Top) (mm),LLAQ21T036929,1865,1/25/2024 10:38,0.767,0.76537,0.6624,0.87946
Anode Overhang (Bottom) (mm),LLAQ21T036929,1865,1/25/2024 10:38,0.683,0.68229,0.5616,0.7788
Cathode Width (mm),LLAQ21T036929,1865,1/25/2024 10:38,57.897,57.90246,57.744,58.00329
Core Area (mm²),LLAQ21T072655,1866,1/25/2024 10:47,13.168,13.17006,13.12941,13.20593
Anode Overhang (All) (mm),LLAQ21T072655,1866,1/25/2024 10:47,0.717,0.72,0.58048,0.85155
Anode Overhang (Top) (mm),LLAQ21T072655,1866,1/25/2024 10:47,0.674,0.6649,0.58048,0.77813
Anode Overhang (Bottom) (mm),LLAQ21T072655,1866,1/25/2024 10:47,0.76,0.76537,0.6336,0.85155
Cathode Width (mm),LLAQ21T072655,1866,1/25/2024 10:47,57.907,57.91681,57.74402,58.01766
Core Area (mm²),KLAQ31T085151,1867,1/25/2024 10:56,13.107,13.12361,12.9796,13.22656
Anode Overhang (All) (mm),KLAQ31T085151,1867,1/25/2024 10:56,0.711,0.70795,0.53596,0.85009
Anode Overhang (Top) (mm),KLAQ31T085151,1867,1/25/2024 10:56,0.784,0.7788,0.58494,0.85009
Anode Overhang (Bottom) (mm),KLAQ31T085151,1867,1/25/2024 10:56,0.637,0.64864,0.53596,0.72359
Cathode Width (mm),KLAQ31T085151,1867,1/25/2024 10:56,57.885,57.88806,57.75842,58.00322
Anode Overhang (All) (mm),KLAQ31T084927,1868,1/25/2024 11:06,0.71,0.70619,0.50421,0.92171
Anode Overhang (Top) (mm),KLAQ31T084927,1868,1/25/2024 11:06,0.815,0.81012,0.58475,0.92171
Anode Overhang (Bottom) (mm),KLAQ31T084927,1868,1/25/2024 11:06,0.605,0.60549,0.50421,0.88264
