metric,sn,scan_id,scan_processed_date,mean,median,min,max
Anode Overhang (All) (mm),LLAQ33T068692,1778,1/24/2024 20:05,0.727,0.74894,0.51135,0.93611
Anode Overhang (Top) (mm),LLAQ33T068692,1778,1/24/2024 20:05,0.833,0.82282,0.6912,0.93611
Anode Overhang (Bottom) (mm),LLAQ33T068692,1778,1/24/2024 20:05,0.62,0.62337,0.51135,0.792
Cathode Width (mm),LLAQ33T068692,1778,1/24/2024 20:05,57.894,57.888,57.74401,58.0179
Core Area (mm²),LLAQ33T068540,1779,1/24/2024 20:14,12.946,12.93937,12.89178,13.00541
Anode Overhang (All) (mm),LLAQ33T068540,1779,1/24/2024 20:14,0.723,0.73475,0.4464,0.97962
Anode Overhang (Top) (mm),LLAQ33T068540,1779,1/24/2024 20:14,0.842,0.80756,0.6912,0.97962
Anode Overhang (Bottom) (mm),LLAQ33T068540,1779,1/24/2024 20:14,0.605,0.6336,0.4464,0.79252
Cathode Width (mm),LLAQ33T068540,1779,1/24/2024 20:14,57.895,57.87382,57.7728,58.01764
Core Area (mm²),KLAQ34T029012,1780,1/24/2024 20:24,13.084,13.06658,12.99722,13.21381
Anode Overhang (All) (mm),KLAQ34T029012,1780,1/24/2024 20:24,0.717,0.72,0.6336,0.79839
Anode Overhang (Top) (mm),KLAQ34T029012,1780,1/24/2024 20:24,0.696,0.69494,0.6336,0.74894
Anode Overhang (Bottom) (mm),KLAQ34T029012,1780,1/24/2024 20:24,0.736,0.73454,0.6912,0.79839
Cathode Width (mm),KLAQ34T029012,1780,1/24/2024 20:24,57.917,57.91695,57.7872,58.032
Anode Overhang (All) (mm),KLAQ34T029063,1781,1/24/2024 20:33,0.715,0.7344,0.5328,0.9072
Anode Overhang (Top) (mm),KLAQ34T029063,1781,1/24/2024 20:33,0.61,0.60497,0.5328,0.73454
Anode Overhang (Bottom) (mm),KLAQ34T029063,1781,1/24/2024 20:33,0.82,0.82194,0.7344,0.9072
Cathode Width (mm),KLAQ34T029063,1781,1/24/2024 20:33,57.918,57.91696,57.7728,58.03203
Core Area (mm²),KLAQ34T029063,1781,1/24/2024 20:33,13.169,13.16809,12.99162,13.29623
Core Area (mm²),LLAQ33T068490,1782,1/24/2024 20:42,13.134,13.13864,13.0728,13.21806
Anode Overhang (All) (mm),LLAQ33T068490,1782,1/24/2024 20:42,0.725,0.7344,0.5186,0.92171
Anode Overhang (Top) (mm),LLAQ33T068490,1782,1/24/2024 20:42,0.83,0.82093,0.7344,0.92171
Anode Overhang (Bottom) (mm),LLAQ33T068490,1782,1/24/2024 20:42,0.619,0.62071,0.5186,0.79213
Cathode Width (mm),LLAQ33T068490,1782,1/24/2024 20:42,57.895,57.88824,57.7584,58.01766
Anode Overhang (All) (mm),KLAQ31T085039,1783,1/24/2024 20:52,0.707,0.72014,0.4896,0.9216
Anode Overhang (Top) (mm),KLAQ31T085039,1783,1/24/2024 20:52,0.826,0.82093,0.72,0.9216
Anode Overhang (Bottom) (mm),KLAQ31T085039,1783,1/24/2024 20:52,0.588,0.5932,0.4896,0.73454
Cathode Width (mm),KLAQ31T085039,1783,1/24/2024 20:52,57.897,57.9024,57.77302,58.00322
Core Area (mm²),KLAQ31T085039,1783,1/24/2024 20:52,13.042,13.04046,12.96425,13.11915
Core Area (mm²),KLAQ31T085071,1784,1/24/2024 21:01,13.097,13.09354,13.03475,13.15616
Anode Overhang (All) (mm),KLAQ31T085071,1784,1/24/2024 21:01,0.711,0.73001,0.56126,0.86412
Anode Overhang (Top) (mm),KLAQ31T085071,1784,1/24/2024 21:01,0.78,0.7776,0.69851,0.86412
Anode Overhang (Bottom) (mm),KLAQ31T085071,1784,1/24/2024 21:01,0.64,0.64864,0.56126,0.71276
Cathode Width (mm),KLAQ31T085071,1784,1/24/2024 21:01,57.892,57.888,57.744,58.00342
Core Area (mm²),KLAQ23T032168,1785,1/24/2024 21:11,13.38,13.36404,13.26606,13.55212
Anode Overhang (All) (mm),KLAQ23T032168,1785,1/24/2024 21:11,0.711,0.72,0.5616,0.85009
Anode Overhang (Top) (mm),KLAQ23T032168,1785,1/24/2024 21:11,0.784,0.78239,0.58475,0.85009
Anode Overhang (Bottom) (mm),KLAQ23T032168,1785,1/24/2024 21:11,0.638,0.63768,0.5616,0.77773
Cathode Width (mm),KLAQ23T032168,1785,1/24/2024 21:11,57.924,57.9312,57.7728,58.04644
Core Area (mm²),LLAQ21T036966,1786,1/24/2024 21:20,13.192,13.18789,13.16093,13.23662
Anode Overhang (All) (mm),LLAQ21T036966,1786,1/24/2024 21:20,0.724,0.7223,0.6048,0.8357
